"475","ārāstan ārāy-"
"476","arawāg"
"477","ārāyišn"
"478","Ard"
"479","ārd"
"480","ardā"
"481","ārdan ār-"
"482","ardāyīh"
"483","ardīg"
"484","ardīkkar"
"485","ardīkkarīh"
"486","arduš"
"487","Ardwahišt"
"488","arešk"
"489","areškēn"
"490","ārešn"
"491","arγand"
"492","argawān"
"493","armēšt"
"494","armēštgah"
"495","armēštīh"
"496","ārōyišn"
"497","ārōyišnīg"
"498","ars"
"499","artēštār"
"500","artēštārīh"
"501","arus"
"502","arwand"
"503","arwandīh"
"504","arwēs"
"505","arz"
"506","Arzah"
"507","arzan"
"508","arzān"
"509","arzānīg"
"510","arzānīgīh"
"511","arzīdan arz-"
"512","arzišn"
"513","arzīz"
"514","arzīzēn"
"515","ārzōg"
"516","arzōmand"
"517","arzōmandīh"
"518","Arzūr"
"519","ā̆šnūdan ā̆šnaw-"
"520","aš"
"521","asāg"
"522","āsān"
"523","āsānīh"
"524","asar"
"525","āsāy āsāyišn"
"526","āsāyišn"
"527","asazāg"
"528","asazišnīg"
"529","asazišnīh"
"530","asēj"
"531","asēm"
"532","asēmēn"
"533","āšixtan āšinj-"
"534","aškamb"
"535","aškambag"
"536","āškārāg"
"537","āškārāgēnīdan"
"538","āškārāgīh"
"539","aškōb"
"540","aškom aškomb"
"541","ašmā"
"542","asmān"
"543","āsn"
"544","āšnāg"
"545","āsnīdag"
"546","āsnūd āsnūdag"
"547","ašō"
"548","āšōb"
"549","asōhišn"
"550","asp"
"551","aspānūr"
"552","aspās"
"553","aspast"
"554","aspinj"
"555","asprēs"
"556","āsrō"
"557","āsrōīh"
"558","āsrōkerpa"
"559","āsrōn"
"560","ast"
"561","Aštād"
"562","ast astag"
"563","aštag"
"564","aštagīh"
"565","astānag"
"566","astānagōmand"
"567","āstār"
"568","aštar"
"569","āstārēnīdan astārēn-"
"570","āstawān"
"571","āstawānīh"
"572","astīh"
"573","āštīh"
"574","astōdān"
"575","astōmand"
"576","astōmandīh"
"577","astuxān"
"578","astwand"
"579","Astwīhād"
"580","āsūdan āsāy-"
"581","Ašwahišt"
"582","aswār"
"583","aswārīh"
"584","āsyāb"
"585","āsyāg"
"586","āšyānag"
"587","ātaxš"
"588","ātaxš ī Wahrām"
"589","andar āwurdan"
"590","āwādag"
"591","āwahan"
"592","āwām"
"593","#NAME?"
"594","awar"
"595","awardāg"
"596","awardišnīg"
"597","awardišnīgīh"
"598","āwarišn"
"599","awarzīd"
"600","āwāš-"
"601","āwāz"
"602","awazišnīg"
"603","āwēnīdan āwēn-"
"604","āwēnišn"
"605","āwēnišnīg"
"606","awēnišnīg"
"607","awērag"
"608","awērān"
"609","awēšān"
"610","awestād"
"611","awestām"
"612","awestarag"
"613","awestardan awestar-"
"614","awestarišn"
"615","awestwār"
