"257","41.378563803341919","60.359225216932714","","Muhammad Rahim Khan Madrasa","9038"
"258","41.378213606839402","60.360705796308935","","Muhammad Amin Inaq Madrasa","9039"
"259","41.377867433730827","60.359965506620824","","Matpana Baya Madrasa","9040"
"260","41.379413122659557","60.355309191770971","","Shaykh Kalandar Bobo Madrasa","9041"
"261","41.379288341843505","60.355673972196996","","Bikajon Bika Mosque","9042"
"262","41.376975828228794","60.35944247586292","","Pahlavan Mahmud Mausoleum","9043"
"263","41.379085069356258","60.357843879290044","","Kohna Ark","9044"
"264","41.379403059699392","60.358219388552129","","Ak Sheikh Bobo Mosque","9045"
"265","41.376537065277802","60.359061602182805","","Matrasul Mirzaboshi Madrasa","9046"
"266","41.376640000000002","60.359229999999997","","Sher Ghazi-khan Madrasa","9047"
"268","41.37688","60.359690000000001","","Otojon Boy Madrasa","9048"
"269","41.376849999999997","60.36027","","Islam Khwaja Madrasa","9049"
"270","41.377531322031061","60.359903815813482","","Juma Masjid","9050"
"271","41.378360000000001","60.360869999999998","","Uch Avlio Maqbarasi","9051"
"272","41.379570000000001","60.364800000000002","","Khwarazmshah Madrasa","9052"
"273","39.778260328930585","64.402471843714125","","Job's TombChashma-i Ayyub","9053"
"274","39.774916740788811","64.412235084528334","","Khwaja Zayn al-DinKhwajai Turk","9054"
"289","39.774340000000002","64.334090000000003","Chahar Bakr Shrine Complex","Chahar Bakr","9055"
"290","39.775039999999997","64.423950000000005","","Abdullo Qo'chqor Masjidi","9056"
"291","39.77478","64.431460000000001","","Dahma Beheshtiyan","9057"
"292","39.771610000000003","64.433369999999996","","Old Bukhara Train Station","9058"
"293","39.766379999999998","64.418279999999996","","Jewish Cemetery","9059"
"294","39.723970000000001","64.545069999999996","","Abd al-Ahad Train Station PalaceДворец Амира","9060"
"295","39.71687","64.552120000000002","","Russian Political Agency in BukharaResidency of the Russian Political Agent","9061"
"297","41.377519999999997","60.36195","","Olloquli Khan Madrasa","9062"
"298","41.377290000000002","60.36121","","Abdullah Khan Madrasa","9063"
"299","41.377290000000002","60.359050000000003","","Yoqub Boy Khwaja","9064"
"300","41.377429999999997","60.356949999999998","","Ziyaratgah Tahir Ishan","9065"
"301","39.771599999999999","64.418520000000001","","Awliya Hazrat-i Khwaja Rushnayi","9066"
"302","39.772669999999998","64.416359999999997","","Khwaja Kalan Masjid","9067"
"303","39.772750000000002","64.414689999999993","","Pachcha-Qul Masjid","9068"
"304","39.772770000000001","64.412170000000003","","Imam Ghazali Wali Masjid","9069"
"305","39.771360000000001","64.412689999999998","","Zabiyan-Dabiyan Masjid","9070"
"306","39.770589999999999","64.41574","","Turk-i Jandi Mausoleum","9071"
