rel_id,parent_id,child_id,type
4088,5088,1059,contains
4089,5088,1060,contains
4090,5088,1065,contains
4091,5091,1041,contains
4092,5091,1042,contains
4093,5091,1043,contains
4094,5091,1047,contains
4095,5095,1225,contains
4096,5095,1226,contains
4097,5097,1166,contains
4098,5098,1063,contains
4099,5098,1064,contains
4100,5100,1056,contains
4101,5101,1085,contains
4102,5102,1197,contains
4103,5103,1080,contains
4104,5103,1081,contains
4105,6119,1178,contains
4106,6119,1179,contains
4107,6119,1180,contains
4108,6119,1181,contains
4109,5109,1144,contains
4110,5110,1214,contains
4111,5110,1215,contains
4112,5112,1103,contains
4113,5113,1147,contains
4114,5114,1208,contains
4115,5114,1209,contains
4116,5116,1128,contains
4117,5117,1049,contains
4118,5118,1070,contains
4119,5119,1184,contains
4120,5120,1168,contains
4121,5120,1169,contains
4122,5120,1170,contains
4123,5120,1171,contains
4124,5120,1173,contains
4125,5125,1044,contains
4126,5126,1201,contains
4127,5127,1001,contains
4128,5127,1037,contains
4129,5127,1088,contains
4130,5127,1207,contains
4131,5131,1121,contains
4132,5132,1245,contains
4133,5133,1055,contains
4134,5134,1067,contains
4135,5135,1132,contains
4136,5135,1133,contains
4137,6116,1146,contains
4138,5138,1164,contains
4139,5139,1053,contains
4140,6108,1150,contains
4141,6108,1151,contains
4142,5142,1142,contains
4143,5143,1019,contains
4144,5143,1020,contains
4145,5143,1021,contains
4146,5146,1034,contains
4147,5146,1035,contains
4148,5146,1036,contains
4149,5149,1100,contains
4150,5149,1102,contains
4151,5149,1105,contains
4152,5152,1125,contains
4153,5153,1082,contains
4154,5153,1084,contains
4155,5155,1172,contains
4156,5156,1066,contains
4157,908,1119,contains
4158,908,1120,contains
4159,5159,1110,contains
4160,343,1186,contains
4161,343,1187,contains
4162,5162,1077,contains
4163,5163,1148,contains
4164,5163,1149,contains
4165,5165,1091,contains
4166,5166,1205,contains
4167,5167,1194,contains
4168,5168,1111,contains
4169,5169,1101,contains
4170,5170,1210,contains
4171,5171,1095,contains
4172,5172,1204,contains
4173,5173,1122,contains
4174,5173,1123,contains
4175,5173,1134,contains
4176,5176,1145,contains
4177,5176,1174,contains
4178,5176,1175,contains
4179,5176,1176,contains
4180,5176,1188,contains
4181,5176,1189,contains
4182,5176,1190,contains
4183,5183,1022,contains
4184,5184,1129,contains
4185,5184,1131,contains
4186,5184,1213,contains
4187,5187,1094,contains
4188,5188,1068,contains
4189,6052,1039,contains
4190,5190,1040,contains
4191,5191,1202,contains
4192,5192,1097,contains
4193,5193,1162,contains
4194,5194,1032,contains
